,p,q,m,SSE,MSE,RMSE,MAE,MAPE,Adjusted-R2,AIC,q/p,t*,t**
구름,0.001590587,0.381241964,1153711.283,2.51398E+11,11971342531,109413.6305,78369.63421,0.367960029,0.910101377,493.3214117,239.6862863,14.31260459,10.87256823
왓챠,0.005364818,0.252230835,15516422.69,3.28298E+13,1.56333E+12,1250330.082,904726.7336,0.249807642,0.90776596,595.6345619,47.01572597,14.94777605,9.835275592
와이피랩스,0.014754784,0.577708603,421837,24551983475,1753713105,41877.35791,33359.63708,0.769440487,0.907584777,303.9900161,39.15398709,6.190259753,3.967408643
서울보증보험,0.005516221,0.221504413,967591.5347,91755692395,4369318685,66100.82212,53354.69791,0.371776069,0.906671028,472.1553315,40.1551029,16.2661405,10.46509117
무신사,0.002951024,0.187749083,47924035.73,8.21031E+13,3.90967E+12,1977288.915,1343754.111,0.286169174,0.904331396,614.8839636,63.6216712,21.77740858,14.87149796
원티드랩,0.004251131,0.17193198,4363673.562,7.91144E+11,37673510626,194096.6528,145855.5463,0.274612762,0.90429913,517.396684,40.44382322,21.00038945,13.52545105
팔루썸니,0.000419461,0.644142174,1568048,4.71286E+11,27722702888,166501.36,126519.9282,0.486792968,0.902944408,414.7737977,1535.641429,11.38246995,9.339286144
탈잉,0.013571687,0.368226051,925273,2.11969E+11,10093742370,100467.6185,75877.26895,0.251745708,0.901115029,489.7388115,27.13192825,8.64518268,5.195822552
크라우드픽,0.000268105,0.637523916,1215626,3.4162E+11,18978898532,137763.9232,88358.41791,0.513547391,0.900113441,431.9986847,2377.885009,12.18887421,10.12400376
그램퍼스,1.93318E-11,1.498673563,265396.5631,5983179141,332398841.1,18231.8085,9635.627255,0.945810715,0.899393138,359.1932304,77523580161,16.73069346,15.85194446
인프랩,0.000756236,0.313511568,5291212.694,2.11355E+12,1.00645E+11,317246.7066,249521.2424,0.532826634,0.89781798,538.0322702,414.5682649,19.17866724,14.98810787
팀오투,0.013845485,0.303076898,206518,6970001044,410000061.4,20248.45825,16519.35497,0.30836078,0.897070882,343.1383537,21.88994437,9.737486309,5.582027542
빔모빌리티코리아,0.003059351,0.612869921,1300254,2.74626E+11,19616130030,140057.5954,112132.4151,0.390104412,0.892329875,337.7946524,200.3267501,8.60480256,6.466638399
집토스,0.023636962,0.201678825,363199,24871991465,1184380546,34414.83032,24638.66234,0.162773283,0.890473865,444.7422003,8.532349823,9.514933836,3.669990979
에이블트리,0.015858211,0.315336111,133196,3681801452,175323878.7,13240.99236,10334.81033,0.228241551,0.890405026,404.6250567,19.88472151,9.027786645,5.051396318
카페24,7.2058E-05,0.517701513,256647.657,10806384051,514589716.7,22684.57001,18730.50514,0.647529168,0.887811294,427.23649,7184.51351,17.14974185,14.60624027
스윗테크놀로지스,0.021363463,0.324162144,147230.7334,1894244875,157853739.6,12563.98582,10050.99754,1.204516741,0.886134282,232.5261536,15.17367005,7.870796348,4.059333848
데이콘,0.002360967,0.501965541,115904,1926482250,128432150,11332.79092,9034.408149,0.433682344,0.885351804,286.0636696,212.6101789,10.62696538,8.015645384
라프텔,0.0028097,0.294027608,11028443.49,2.20307E+13,1.04908E+12,1024246.707,766624.9423,0.590125463,0.884819296,587.2576552,104.6473455,15.66715491,11.23052292
위트레인,0.05795003,0.049670861,220960.0178,1820140035,151678336.2,12315.77591,9662.1008,0.714885892,0.883022876,232.0472715,0.85713262,-1.432460014,-13.66946983
딜리버리히어로코리아,0.032997387,0.112490357,34827843.11,1.71607E+14,8.17176E+12,2858628.855,2301755.819,0.217567388,0.882340518,630.3658112,3.409068586,8.429844877,-0.622174641
위시켓,0.000147773,0.510683811,1142414.42,2.88059E+11,13717073758,117119.9119,94580.0741,0.575629869,0.881664265,496.1800502,3455.862492,15.95012446,13.37205775
피플카,0.000717163,0.302477359,541945.9828,20789856296,989993156.9,31464.1567,24043.45673,0.449651307,0.880513015,440.9773804,421.7691393,19.935908,15.59230084
코드스테이츠,3.2225E-05,0.658355994,116021,2724551364,143397440.2,11974.86702,9303.168948,0.666288718,0.880476987,362.8414821,20429.95518,15.07432425,13.07404864
바닐라브릿지,0.00791659,0.409360719,30219,183024181.3,11439011.33,3382.160749,2345.56195,0.493238983,0.880470661,266.0406419,51.70922015,9.455668971,6.299595377
정육각,0.000259123,0.455324571,619195,90032655861,4287269327,65477.24282,36154.06642,0.597036749,0.879599142,471.7572328,1757.174846,16.39975857,13.50905393
프렌트립,0.017897737,0.362557253,682141,1.06283E+11,5061097415,71141.39031,48502.08582,0.178654071,0.879174076,475.2418327,20.25715634,7.907658486,4.446124451
디스코,0.007923601,0.282170833,982018,1.78327E+11,9385626121,96879.44117,62833.55663,0.258014163,0.878246665,442.2864592,35.61144016,12.31553084,7.775775002
와디즈,0.003827771,0.333575422,6757391,1.26076E+13,6.00361E+11,774829.8116,513557.5218,0.663583347,0.876357376,575.5367448,87.14612245,13.24109069,9.337873635
비햅틱스,0.000826169,0.337058826,612879.1726,29301577065,1542188267,39270.70494,25546.39157,0.4065886,0.876297829,407.9728957,407.977999,17.79070789,13.89305657
와이어바알리,4.60421E-05,0.560168286,240740.0245,12162301477,579157213.2,24065.68539,18376.30348,0.573300555,0.8722506,429.718775,12166.42656,16.79077996,14.43996915
더블유컨셉코리아,0.00134601,0.20499464,16708509.71,6.44507E+12,3.06908E+11,553992.751,447122.0782,0.480667063,0.871344356,561.446089,152.2980613,24.35700163,17.97455638
핏펫,0.004578419,0.392529161,203389.0142,7676631481,479789467.6,21904.09705,14418.05688,0.348302031,0.868861209,325.8217273,85.73466011,11.20919721,7.892821594
마보,0.031210794,0.232083104,736311,1.08228E+11,5153727933,71789.46951,55444.78975,0.171316951,0.868828478,475.6227094,7.435988413,7.620121563,2.618266581
그린카,0.044094593,0.113977351,1362361.823,3.21323E+11,15301074366,123697.5116,110572.343,0.197761698,0.867015108,498.4749665,2.584837379,6.007787188,-2.323595777
사람인에이치알,0.001716169,0.354927461,30962126.27,2.42397E+14,1.15427E+13,3397457.747,2630047.351,0.420353834,0.865423359,637.6185955,206.8137941,14.94999038,11.25734656
크라우드웍스,0.005185846,0.374702742,269798,17056309917,947572773.2,30782.67001,23606.54639,0.599969882,0.862440615,378.0494574,72.2548958,11.2669878,7.800292727
라라잡,0.000174923,0.756722285,478475.0889,13544954343,1128746195,33596.81823,25802.73152,0.570280605,0.862337407,256.1324795,4326.036011,11.06148476,9.321541891
인플루엔셜,0.013395994,0.329709098,1901459,9.08563E+11,50475740017,224668.0663,164158.3532,0.408550049,0.858733279,449.6056559,24.61251499,9.336075539,5.497724173
에이치소사이어티,0.021087095,0.377191911,345643,32098637467,1528506546,39096.11932,28517.50938,0.200329642,0.857908764,450.0986966,17.8873339,7.241388107,3.934766677
투스라이프,0.000928478,0.357018424,3477722.876,2.52992E+12,1.20472E+11,347091.2225,274970.9611,0.48991052,0.855641205,541.8084024,384.5199276,16.62815234,12.9489533
더스윙,0.007411573,0.39092987,1011567.471,75971681059,6330973422,79567.41432,58257.39432,0.313340203,0.855545432,276.8246381,52.74586782,9.954990864,6.648887727
벤디스,0.026997136,0.127277484,286019,14305990326,715299516.3,26745.08397,18909.46401,0.376716296,0.855380347,413.7642383,4.714480946,10.05115959,1.514707525
미소,0.041063884,0.1260803,490269,56366287536,2684108930,51808.38668,39141.43749,0.214341094,0.852654994,461.9229074,3.070345244,6.711510916,-1.167661837
스파코사,1.21073E-16,2.279441145,19223.03117,63311057.3,3517280.961,1875.441538,1533.390625,0.90275564,0.852247427,277.3175783,1.88271E+16,16.44002582,15.86227109
클라썸,0.00614019,0.381327365,164298,6123639301,382727456.3,19563.42139,14166.96885,1.775702052,0.85096754,322.2053391,62.10351353,10.65586656,7.256980954
메디스트림,0.005721036,0.486995908,34798.26092,191841569.4,14757043.8,3841.489789,3008.209377,0.41912247,0.845240289,220.5940039,85.12372008,9.019591834,6.346743027
나이키코리아,0.023646481,0.184705371,225599798,1.68711E+16,8.03388E+14,28344100.27,21064074.17,50.0649413,0.842851405,726.7170374,7.811114574,9.865751846,3.544915786
매스아시아,0.014026165,0.355518212,780352,1.25375E+11,8358300667,91423.74236,68134.49606,3.819382641,0.842847723,348.6978146,25.34678663,8.747669189,5.183935093
눔코리아,0.009537464,0.275384953,18353162,1.03309E+14,4.91947E+12,2217987.501,1546390.658,0.378970628,0.842001929,619.7086541,28.87402399,11.80301082,7.180847662
패스트레인,0.002636515,0.189211258,954320.7331,38091613449,1904580672,43641.50172,30304.04721,0.36683311,0.838262752,433.350554,71.76567401,22.27498514,15.41038683
웍스아웃,0.000270129,0.460487602,818398,2.13177E+11,10151300104,100753.6605,73650.83193,0.561724053,0.836754462,489.8582201,1704.696977,16.14979447,13.29155073
겟차,0.034789194,0.159248716,324458,26968304842,1284204992,35835.80601,30332.76077,0.257669088,0.834770837,446.4415193,4.577533995,7.839501197,1.052384699
뉴지스탁,0.001746394,0.29401742,110128.2739,1772142962,88607148.09,9413.136995,7302.258233,0.923910992,0.831763867,371.9944618,168.3568971,17.33168791,12.87895287
뱅크샐러드,0.016305649,0.398359624,6815892,1.98115E+13,9.43405E+11,971290.192,694976.9421,0.392481026,0.831193062,585.0279836,24.43077414,7.707044177,4.531090016
자이언트스텝,2.84382E-09,0.988248058,91689.83843,847138370.8,40339922.42,6351.371696,5056.075335,0.782784696,0.831151114,373.7698955,347506650.5,19.90015983,18.56754108
앱포스터,3.20229E-12,1.397725115,734492.0244,94468411918,4498495806,67070.82679,57617.34903,0.778643029,0.830777114,472.7671872,4.36476E+11,19.17544414,18.2332289
생활연구소,0.008803173,0.279932852,214371,18425333372,877396827.2,29620.88498,22893.40889,0.61186656,0.828430282,438.4418685,31.79908658,11.98131603,7.42020213
플랭,0.005710489,0.729309303,72968,1325252135,110437677.9,10508.93324,8513.618551,0.562575186,0.824224253,228.239543,127.7139919,6.598180598,4.806449392
키튼플래닛,0.013139356,0.233165459,86930,1691908249,93994902.72,9695.096839,7161.748847,0.27355513,0.823866061,336.45752,17.74557698,11.677142,6.330279832
아우름플래닛,3.48466E-06,0.611801131,2184060.972,4.84199E+11,23057086721,151845.6016,128623.4706,0.621114175,0.823266674,507.0860192,175569.8336,19.73798799,17.58540878
키노라이츠,0.000676688,0.557987769,3243264,2.28289E+12,1.52193E+11,390118.6622,228885.01,3.128978779,0.822222161,392.226187,824.5862773,12.01952565,9.662193127
쉐어잇,2.22888E-12,1.825167715,48460,497182066.9,29246003.93,5407.957464,4277.639894,0.753243789,0.821401621,298.2513096,8.1887E+11,15.02940882,14.30785436
보고플레이,0.000262052,0.882722847,668687,1.32269E+11,10174510042,100868.7763,65843.40048,2.755340301,0.817050543,305.5609684,3368.498414,9.198597118,7.707113064
투믹스,1.22631E-05,0.635793379,146760189,7.65971E+15,3.64748E+14,19098384.27,12970306.75,0.712077394,0.812944769,710.1348005,51845.95581,17.0744509,15.0031294
스테이폴리오,0.006406591,0.210791122,149611.2062,4742872421,225851067.6,15028.34215,11877.79285,0.367803891,0.811705694,409.9431133,32.90222671,16.08460918,10.02120328
유리벳코리아,0.019257268,0.391999132,5910669,1.58062E+13,7.90311E+11,888994.1015,635244.0895,0.457969566,0.811448002,553.9138352,20.35590553,7.327232028,4.124952633
나인탭,0.007182187,0.266341255,827898,1.92829E+11,10148890257,100741.7007,61540.7585,0.296286415,0.806939465,443.7719738,37.08358893,13.20974356,8.394953691
